date,avg_temp,min_temp,max_temp,downfall,pressure,humidity,wind_speed,snow_depth,year
1,1.3,-1.0,2.7,0.0,1020.7,80.0,1.7,0,2014
2,-1.7,-3.0,-0.4,0.0,1026.2,74.0,1.9,0,2014
3,-0.4,-1.0,0.5,5.6,1020.0,89.0,1.0,0,2014
5,3.2,2.0,4.4,0.0,1014.6,92.0,1.0,0,2014
6,5.1,4.0,5.8,0.0,1018.7,95.0,1.0,0,2014
7,5.8,4.0,7.3,4.1,1016.7,97.0,1.0,0,2014
8,7.4,6.0,8.6,0.0,1014.0,88.0,1.1,0,2014
9,4.2,3.0,5.8,5.1,1024.0,86.0,1.0,0,2014
11,4.6,3.0,5.3,0.0,1030.3,92.0,1.2,0,2014
12,5.4,5.0,5.7,0.0,1026.0,82.0,1.0,0,2014
13,4.9,4.0,5.5,0.3,1027.6,91.0,1.0,0,2014
14,2.3,-1.0,4.7,0.0,1032.2,92.0,1.1,0,2014
15,0.1,-1.0,1.2,0.0,1033.0,82.0,1.2,0,2014
16,-3.7,-5.0,-2.1,0.0,1036.4,70.0,1.1,0,2014
17,-4.8,-5.0,-4.2,0.0,1036.0,77.0,1.1,0,2014
18,-3.6,-6.0,-1.9,0.0,1037.3,76.0,1.0,0,2014
19,-7.6,-10.0,-3.5,0.0,1038.5,87.0,1.0,0,2014
20,-8.3,-11.0,-4.0,0.0,1039.2,94.0,1.0,0,2014
21,-7.0,-10.0,-2.2,0.0,1036.3,94.0,51.4,0,2014
22,-3.0,-8.0,0.8,0.0,1031.6,73.0,1.0,0,2014
23,-3.0,-7.0,-0.6,0.0,1034.1,80.0,1.0,0,2014
24,-1.9,-2.0,-1.7,0.0,1039.9,89.0,1.0,0,2014
25,-3.7,-5.0,-2.5,0.0,1037.1,92.0,1.1,0,2014
26,-6.4,-7.0,-5.7,0.0,1033.3,98.0,1.0,0,2014
27,-6.8,-10.0,-4.9,0.0,1034.2,92.0,1.0,0,2014
28,-8.9,-11.0,-6.3,0.0,1037.9,86.0,1.2,0,2014
29,-10.0,-12.0,-7.2,0.0,1038.1,91.0,1.0,0,2014
1,6.5,3.0,9.7,0.0,1020.7,82.0,1.1,0,2013
2,6.1,3.0,8.6,0.0,1014.1,84.0,1.0,0,2013
3,7.1,4.0,9.0,1.3,1007.8,96.0,1.0,0,2013
4,9.1,6.0,10.8,6.4,1003.8,89.0,1.7,0,2013
5,7.5,4.0,11.2,5.1,1007.1,91.0,1.5,0,2013
8,5.3,4.0,6.8,0.5,1011.3,89.0,1.2,0,2013
9,5.9,2.0,7.5,0.0,1018.9,84.0,1.6,0,2013
10,9.6,8.0,10.1,1.0,1012.9,88.0,1.4,0,2013
11,8.1,7.0,9.1,0.0,1019.6,89.0,1.3,0,2013
12,3.6,3.0,5.5,0.5,1028.8,91.0,1.1,0,2013
13,3.1,2.0,4.3,0.0,1021.0,86.0,1.0,0,2013
14,2.3,1.0,3.3,1.3,1014.8,92.0,1.3,0,2013
15,2.8,2.0,3.4,0.0,1022.0,88.0,1.1,0,2013
16,2.1,1.0,2.8,0.0,1011.8,96.0,1.2,0,2013
17,5.6,4.0,7.0,1.3,1003.2,89.0,1.7,0,2013
18,0.5,-4.0,3.2,0.0,1022.8,71.0,2.3,0,2013
19,0.3,-3.0,2.0,0.0,1028.3,72.0,1.6,0,2013
22,3.4,3.0,3.8,0.0,1023.2,91.0,2.0,0,2013
23,4.1,3.0,4.8,0.0,1020.1,90.0,1.2,0,2013
24,4.5,4.0,5.2,2.8,1013.0,95.0,1.2,0,2013
25,3.3,2.0,4.3,0.5,1008.8,95.0,1.1,0,2013
26,0.3,-1.0,1.4,13.7,1007.5,99.0,2.9,0,2013
27,-4.6,-6.0,-2.8,1.8,1014.6,91.0,1.7,5,2013
1,-1.0,-2.0,0.5,0.0,1025.7,87.0,1.2,3,2012
3,3.1,2.0,4.7,4.8,1014.4,94.0,1.6,0,2012
4,8.0,5.0,9.6,0.0,1009.9,90.0,1.1,0,2012
5,7.3,5.0,9.3,0.0,1010.5,88.0,1.7,0,2012
8,1.8,1.0,2.7,2.0,1002.3,90.0,2.1,0,2012
10,-2.4,-4.0,-0.3,0.0,1025.8,87.0,1.2,0,2012
11,-1.7,-6.0,0.8,0.0,1031.9,85.0,1.6,0,2012
12,2.9,1.0,4.7,1.0,1020.5,90.0,1.9,0,2012
13,3.8,2.0,5.1,0.3,1019.5,86.0,2.0,0,2012
15,4.6,3.0,5.4,1.0,1012.3,94.0,1.7,0,2012
16,4.4,4.0,5.3,1.8,1014.7,85.0,2.3,0,2012
17,3.8,3.0,4.6,0.0,1023.7,87.0,1.0,0,2012
19,-0.4,-1.0,0.4,0.0,1024.1,88.0,1.0,0,2012
20,1.7,1.0,2.5,0.0,1031.1,86.0,1.3,0,2012
21,2.2,1.0,3.1,0.0,1035.0,87.0,1.0,0,2012
22,3.4,3.0,4.4,0.0,1036.7,80.0,1.0,0,2012
23,1.7,-1.0,3.2,0.0,1033.1,80.0,1.0,0,2012
24,-2.6,-4.0,-2.0,0.0,1029.8,92.0,1.0,0,2012
25,-4.3,-5.0,-3.6,0.0,1026.0,89.0,1.0,0,2012
26,-1.8,-4.0,-0.5,0.0,1016.2,91.0,1.0,0,2012
27,0.3,-1.0,0.8,0.0,1015.9,92.0,1.0,1,2012
28,-1.1,-2.0,0.3,7.1,1016.4,93.0,1.3,1,2012
29,-3.6,-5.0,-2.6,0.0,1011.6,95.0,2.5,15,2012
1,7.5,6.0,8.1,0.0,1015.4,88.0,1.9,0,2011
2,5.8,5.0,6.5,0.0,1022.7,85.0,1.0,0,2011
3,6.5,5.0,7.5,0.0,1018.5,91.0,1.2,0,2011
5,-1.5,-6.0,1.9,0.0,1034.9,62.0,1.4,0,2011
6,-7.8,-10.0,-4.9,0.0,1044.1,69.0,1.0,0,2011
7,-3.2,-8.0,0.3,0.0,1036.1,67.0,1.1,0,2011
8,1.6,1.0,3.5,5.6,1014.3,82.0,1.7,0,2011
9,1.6,1.0,2.4,1.8,1012.3,87.0,3.4,0,2011
10,0.9,1.0,1.0,0.5,1026.6,81.0,3.2,0,2011
12,0.8,1.0,1.0,0.5,1034.2,88.0,1.5,0,2011
14,-0.1,-1.0,0.8,0.0,1018.6,85.0,2.1,0,2011
15,-1.4,-4.0,1.3,3.6,1011.1,74.0,2.5,0,2011
16,-2.8,-5.0,-0.9,0.0,1016.5,81.0,1.2,0,2011
18,1.2,-1.0,2.0,2.8,1014.3,85.0,1.0,0,2011
19,2.1,1.0,2.6,6.6,1005.9,91.0,1.6,0,2011
20,-2.0,-6.0,2.2,0.0,1016.3,75.0,2.4,0,2011
21,-5.6,-7.0,-4.4,0.0,1026.1,79.0,1.5,0,2011
22,-4.3,-8.0,-2.1,0.0,1024.3,82.0,1.6,0,2011
23,-7.2,-10.0,-4.1,0.0,1037.3,89.0,1.0,0,2011
24,-2.0,-5.0,0.4,0.0,1031.6,85.0,1.4,0,2011
25,0.8,-1.0,2.2,0.0,1020.5,92.0,1.4,1,2011
26,1.3,1.0,1.6,5.6,1007.7,96.0,1.1,0,2011
27,2.3,1.0,3.1,0.0,1001.5,89.0,2.3,0,2011
28,3.1,2.0,5.0,4.8,989.8,90.0,3.0,0,2011
1,4.9,4.0,6.4,0.0,1020.3,91.0,1.4,0,2010
2,6.6,4.0,8.7,0.0,1015.0,85.0,1.6,0,2010
3,7.6,6.0,8.9,0.0,1015.3,88.0,1.2,0,2010
4,7.2,5.0,8.4,0.0,1003.5,91.0,1.5,0,2010
8,1.9,-2.0,6.7,0.0,1010.6,94.0,1.3,0,2010
9,10.2,8.0,11.9,0.0,1002.8,86.0,1.5,0,2010
10,12.4,9.0,14.3,0.0,1001.6,82.0,1.9,0,2010
11,10.1,7.0,13.8,11.7,1002.2,83.0,2.0,0,2010
12,7.1,5.0,9.2,0.3,1001.6,85.0,1.1,0,2010
14,6.3,4.0,7.3,0.0,1003.7,82.0,2.0,0,2010
15,8.7,4.0,12.3,0.0,1014.8,84.0,1.2,0,2010
16,8.7,6.0,10.3,0.0,1017.4,86.0,1.3,0,2010
17,3.6,2.0,5.5,0.0,1029.2,79.0,1.7,0,2010
19,3.8,3.0,4.3,0.0,1027.1,90.0,1.7,0,2010
20,2.2,1.0,3.9,0.0,1023.6,98.0,1.1,0,2010
21,-0.7,-1.0,0.8,5.1,1023.3,96.0,1.5,1,2010
22,-3.2,-4.0,-1.4,0.0,1019.8,95.0,1.0,3,2010
23,-1.7,-4.0,0.2,0.0,1012.9,96.0,1.1,3,2010
27,-0.6,-2.0,0.3,0.0,1007.9,79.0,1.0,0,2010
28,-8.7,-13.0,-5.3,0.0,1015.4,84.0,1.4,1,2010
29,-15.4,-17.0,-14.0,0.0,1023.9,82.0,1.4,1,2010
1,-1.7,-4.0,-0.2,0.5,1023.9,83.0,2.0,1,2009
2,-1.0,-4.0,0.9,0.0,1024.9,84.0,1.0,0,2009
3,-0.2,-1.0,0.4,0.3,1024.8,84.0,51.4,0,2009
