date	avg_temp	min_temp	max_temp	downfall	pressure	humidity	wind_speed	snow_depth	year
01	1.3	-1	2.7	-	1020.7	80	1.7	251	2014
02	-1.7	-3	-0.4	-	1026.2	74	1.9	251	2014
03	-0.4	-1	0.5	5.6	1020	89	1	251	2014
04	2.1	-	4.4	-	1017.1	-	1	251	2014
05	3.2	2	4.4	-	1014.6	92	1	251	2014
06	5.1	4	5.8	-	1018.7	95	1	251	2014
07	5.8	4	7.3	4.1	1016.7	97	1	251	2014
08	7.4	6	8.6	-	1014	88	1.1	251	2014
09	4.2	3	5.8	5.1	1024	86	1	251	2014
10	2.8	-	5.5	1.8	1032	91	1.4	251	2014
11	4.6	3	5.3	-	1030.3	92	1.2	251	2014
12	5.4	5	5.7	-	1026	82	1	251	2014
13	4.9	4	5.5	0.3	1027.6	91	1	251	2014
14	2.3	-1	4.7	-	1032.2	92	1.1	251	2014
15	0.1	-1	1.2	-	1033	82	1.2	251	2014
16	-3.7	-5	-2.1	-	1036.4	70	1.1	251	2014
17	-4.8	-5	-4.2	-	1036	77	1.1	251	2014
18	-3.6	-6	-1.9	-	1037.3	76	1	251	2014
19	-7.6	-10	-3.5	-	1038.5	87	1	251	2014
20	-8.3	-11	-4	-	1039.2	94	1	251	2014
21	-7	-10	-2.2	-	1036.3	94	51.4	251	2014
22	-3	-8	0.8	-	1031.6	73	1	251	2014
23	-3	-7	-0.6	-	1034.1	80	1	251	2014
24	-1.9	-2	-1.7	-	1039.9	89	1	251	2014
25	-3.7	-5	-2.5	-	1037.1	92	1.1	251	2014
26	-6.4	-7	-5.7	-	1033.3	98	1	251	2014
27	-6.8	-10	-4.9	-	1034.2	92	1	251	2014
28	-8.9	-11	-6.3	-	1037.9	86	1.2	251	2014
29	-10	-12	-7.2	-	1038.1	91	1	251	2014
01	6.5	3	9.7	-	1020.7	82	1.1	251	2013
02	6.1	3	8.6	-	1014.1	84	1	251	2013
03	7.1	4	9	1.3	1007.8	96	1	251	2013
04	9.1	6	10.8	6.4	1003.8	89	1.7	251	2013
05	7.5	4	11.2	5.1	1007.1	91	1.5	251	2013
06	13.9	12	16.1	2	-	79	2.1	251	2013
07	9.2	5	13.8	8.4	-	88	1.7	251	2013
08	5.3	4	6.8	0.5	1011.3	89	1.2	251	2013
09	5.9	2	7.5	-	1018.9	84	1.6	251	2013
10	9.6	8	10.1	1	1012.9	88	1.4	251	2013
11	8.1	7	9.1	-	1019.6	89	1.3	251	2013
12	3.6	3	5.5	0.5	1028.8	91	1.1	251	2013
13	3.1	2	4.3	-	1021	86	1	251	2013
14	2.3	1	3.3	1.3	1014.8	92	1.3	251	2013
15	2.8	2	3.4	-	1022	88	1.1	251	2013
16	2.1	1	2.8	-	1011.8	96	1.2	251	2013
17	5.6	4	7	1.3	1003.2	89	1.7	251	2013
18	0.5	-4	3.2	-	1022.8	71	2.3	251	2013
19	0.3	-3	2	-	1028.3	72	1.6	251	2013
20	1.7	-	2.9	-	1023.2	79	1.9	251	2013
21	2.3	-	3.8	-	1021.8	91	1.9	251	2013
22	3.4	3	3.8	-	1023.2	91	2	251	2013
23	4.1	3	4.8	-	1020.1	90	1.2	251	2013
24	4.5	4	5.2	2.8	1013	95	1.2	251	2013
25	3.3	2	4.3	0.5	1008.8	95	1.1	251	2013
26	0.3	-1	1.4	13.7	1007.5	99	2.9	251	2013
27	-4.6	-6	-2.8	1.8	1014.6	91	1.7	5	2013
28	0.1	-3	1.7	5.8	-	96	1.5	9	2013
29	0.2	-1	1	4.8	-	95	1.6	6	2013
01	-1	-2	0.5	-	1025.7	87	1.2	3	2012
02	1.3	-	2.5	-	1026.5	91	2.2	3	2012
03	3.1	2	4.7	4.8	1014.4	94	1.6	251	2012
04	8	5	9.6	-	1009.9	90	1.1	251	2012
05	7.3	5	9.3	-	1010.5	88	1.7	251	2012
06	7.8	5	10	26.2	-	94	2.4	251	2012
07	4.1	3	4.8	0.5	-	82	1.7	251	2012
08	1.8	1	2.7	2	1002.3	90	2.1	251	2012
09	2.6	-	6.4	5.1	1006.5	93	1.7	251	2012
10	-2.4	-4	-0.3	-	1025.8	87	1.2	251	2012
11	-1.7	-6	0.8	-	1031.9	85	1.6	251	2012
12	2.9	1	4.7	1	1020.5	90	1.9	251	2012
13	3.8	2	5.1	0.3	1019.5	86	2	251	2012
14	2.1	-	3	0.5	1022.4	79	1.7	251	2012
15	4.6	3	5.4	1	1012.3	94	1.7	251	2012
16	4.4	4	5.3	1.8	1014.7	85	2.3	251	2012
17	3.8	3	4.6	-	1023.7	87	1	251	2012
18	1.8	-	3.2	-	1025.2	81	1	251	2012
19	-0.4	-1	0.4	-	1024.1	88	1	251	2012
20	1.7	1	2.5	-	1031.1	86	1.3	251	2012
21	2.2	1	3.1	-	1035	87	1	251	2012
22	3.4	3	4.4	-	1036.7	80	1	251	2012
23	1.7	-1	3.2	-	1033.1	80	1	251	2012
24	-2.6	-4	-2	-	1029.8	92	1	251	2012
25	-4.3	-5	-3.6	-	1026	89	1	251	2012
26	-1.8	-4	-0.5	-	1016.2	91	1	251	2012
27	0.3	-1	0.8	-	1015.9	92	1	1	2012
28	-1.1	-2	0.3	7.1	1016.4	93	1.3	1	2012
29	-3.6	-5	-2.6	-	1011.6	95	2.5	15	2012
01	7.5	6	8.1	-	1015.4	88	1.9	251	2011
02	5.8	5	6.5	-	1022.7	85	1	251	2011
03	6.5	5	7.5	-	1018.5	91	1.2	251	2011
04	5	-	7.6	-	1022.4	81	1.1	251	2011
05	-1.5	-6	1.9	-	1034.9	62	1.4	251	2011
06	-7.8	-10	-4.9	-	1044.1	69	1	251	2011
07	-3.2	-8	0.3	-	1036.1	67	1.1	251	2011
08	1.6	1	3.5	5.6	1014.3	82	1.7	251	2011
